n,time_in_mil
1,0.003
1001,0.013
2001,0.046
3001,0.092
4001,0.162
5001,0.251
6001,0.362
7001,0.581
8001,0.657
9001,0.815
10001,0.990
11001,1.185
12001,1.479
13001,1.829
14001,2.129
15001,2.522
16001,3.271
17001,3.230
18001,3.382
19001,4.330
20001,4.426
21001,5.125
22001,5.182
23001,5.978
24001,6.347
25001,6.943
26001,7.497
27001,7.612
28001,8.274
29001,8.532
30001,9.987
31001,10.698
32001,10.840
33001,11.323
34001,11.981
35001,13.589
36001,13.637
37001,14.390
38001,14.896
39001,15.773
40001,16.472
41001,17.705
42001,18.635
43001,20.109
44001,21.485
45001,22.806
46001,22.290
47001,22.660
48001,23.428
49001,25.857
50001,26.279
