n,time_in_mil
1,0.003
1001,0.013
2001,0.043
3001,0.094
4001,0.156
5001,0.244
6001,0.353
7001,0.543
8001,0.865
9001,1.031
10001,1.060
11001,1.237
12001,1.504
13001,1.707
14001,2.005
15001,2.322
16001,2.648
17001,3.069
18001,3.794
19001,4.218
20001,4.211
21001,5.249
22001,5.423
23001,6.635
24001,6.388
25001,6.786
26001,7.580
27001,7.910
28001,8.243
29001,8.776
30001,9.834
31001,10.298
32001,11.364
33001,12.515
34001,13.380
35001,13.438
36001,14.319
37001,14.507
38001,15.027
39001,15.495
40001,16.181
41001,17.079
42001,18.907
43001,19.531
44001,20.359
45001,21.345
46001,21.948
47001,22.670
48001,24.501
49001,25.300
50001,25.731
