n,time_in_mil
1,0.003
501,0.005
1001,0.017
1501,0.027
2001,0.045
2501,0.067
3001,0.093
3501,0.126
4001,0.163
4501,0.205
5001,0.259
5501,0.314
6001,0.359
6501,0.442
7001,0.486
7501,0.567
8001,0.630
8501,0.727
9001,0.801
9501,0.896
10001,1.002
10501,1.096
11001,1.205
11501,1.326
12001,1.455
12501,1.595
13001,1.757
13501,1.871
14001,2.013
14501,2.153
15001,2.443
15501,2.712
16001,2.837
16501,2.934
17001,3.122
17501,3.450
18001,3.498
18501,4.138
19001,3.852
19501,4.237
20001,4.453
20501,4.659
21001,4.884
21501,5.180
22001,5.713
22501,5.676
23001,5.876
23501,6.105
24001,6.417
24501,7.177
25001,6.848
25501,7.040
26001,7.536
26501,7.751
27001,7.825
27501,8.756
28001,8.371
28501,8.438
29001,8.615
29501,8.856
30001,9.251
30501,9.482
31001,10.549
31501,10.472
32001,10.648
32501,11.452
33001,11.800
33501,11.876
34001,12.467
34501,12.606
35001,13.240
35501,13.684
36001,13.837
36501,14.124
37001,14.377
37501,14.802
38001,15.037
38501,15.371
39001,15.752
39501,16.330
40001,16.620
40501,16.969
41001,17.467
41501,18.115
42001,18.542
42501,18.909
43001,20.683
43501,19.745
44001,20.125
44501,20.783
45001,21.237
45501,21.612
46001,21.987
46501,22.485
47001,22.775
47501,23.239
48001,23.636
48501,24.201
49001,24.779
49501,25.568
50001,25.975
50501,26.545
51001,27.082
51501,27.583
52001,28.179
52501,28.803
53001,29.156
53501,30.246
54001,30.618
54501,31.392
55001,31.010
55501,32.499
56001,32.734
56501,33.714
57001,34.207
57501,34.473
58001,34.750
58501,35.301
59001,36.139
59501,36.571
60001,37.316
60501,37.823
61001,39.864
61501,40.929
62001,40.428
62501,40.707
63001,41.576
63501,41.894
64001,42.527
64501,43.167
65001,44.067
65501,44.956
66001,45.516
66501,45.718
67001,46.513
67501,47.130
68001,47.575
68501,48.689
69001,49.394
69501,50.124
70001,50.922
70501,52.066
71001,52.580
71501,53.643
72001,54.575
72501,55.214
73001,56.361
73501,56.770
74001,57.284
74501,58.088
75001,58.212
75501,59.067
76001,60.175
76501,61.411
77001,64.162
77501,67.661
78001,67.148
78501,65.636
79001,67.304
79501,69.901
80001,71.109
80501,71.740
81001,72.786
81501,113.862
82001,131.633
82501,176.459
83001,194.852
83501,199.922
