n,time_in_mil
1,0.003
1001,0.014
2001,0.044
3001,0.093
4001,0.178
5001,0.256
6001,0.367
7001,0.507
8001,0.643
9001,0.864
10001,0.975
11001,1.212
12001,1.437
13001,1.711
14001,2.330
15001,2.534
16001,2.767
17001,2.950
18001,3.307
19001,3.728
20001,4.393
21001,4.778
22001,5.139
23001,5.811
24001,5.947
25001,6.413
26001,6.930
27001,7.433
28001,7.926
29001,8.440
30001,9.105
31001,9.969
32001,10.494
33001,11.165
34001,11.992
35001,12.712
36001,13.749
37001,14.294
38001,15.036
39001,15.774
40001,17.068
41001,17.700
42001,19.118
43001,20.015
44001,21.322
45001,22.191
46001,22.501
47001,23.624
48001,23.629
49001,24.288
50001,25.394
