n,time_in_mil
1,0.003
1001,0.014
2001,0.044
3001,0.093
4001,0.160
5001,0.244
6001,0.352
7001,0.481
8001,0.628
9001,0.785
10001,0.978
11001,1.184
12001,1.431
13001,1.706
14001,1.991
15001,2.313
16001,2.617
17001,2.961
18001,3.332
19001,3.721
20001,4.265
21001,4.567
22001,5.234
23001,5.502
24001,6.077
25001,6.636
26001,6.991
27001,7.498
28001,8.047
29001,8.585
30001,9.300
31001,9.873
32001,10.824
33001,11.237
34001,11.991
35001,13.073
36001,13.717
37001,14.476
38001,15.106
39001,15.653
40001,16.737
41001,17.494
42001,18.831
43001,19.182
44001,20.643
45001,21.304
46001,22.103
47001,22.811
48001,23.737
49001,24.620
50001,25.673
